abaza	абазинский
acrhi	арчинский
adyghe	адыгейский
albanian	албанский
all	все
armenian	армянский
armenian_translit	армянский (транслит.)
bashkir	башкирский
belarusian	белорусский
beserman	бесермянский
bulgarian	болгарский
buryat	бурятский
chinese	китайский
chuvash	чувашский
comments	комментарии
dargwa	даргинский
english	английский
english_note	английский (комментарии)
erzya	эрзянский
estonian	эстонский
finnish	финский
french	французский
german	немецкий
greek	греческий
hill_mari	горномарийский
id	ID
italian	итальянский
kalmyk	калмыцкий
kamas	камасинский
komi	коми
komi-zyrian	коми-зырянский
komi_permyak	коми-пермяцкий
komi_zyrian	коми-зырянский
latvian	латышский
lithuanian	литовский
meadow_mari	луговой марийский
moksha	мокшанский
negative	отрицательные
nganasan	нганасанский
note	комментарии
notes	комментарии
ossetic	осетинский
ossetic_digor	дигорский
ossetic_iron	иронский
polish	польский
positive	положительные
ref	ID
romani	цыганский
russian	русский
selkup	селькупский
spanish	испанский
swedish	шведский
tatar	татарский
tsakhur	цахурский
tsakonian	цаконский
udmurt	удмуртский
ukrainian	украинский
undefined	неопределённый
yakut	якутский
yiddish	идиш

